customer_id,age,gender,location,payment_method,review_rating,season
1,55,Male,teruel,Venmo,3.1,Winter
2,19,Male,cadiz,Cash,3.1,Winter
3,50,Male,barcelona,Credit Card,3.1,Spring
4,21,Male,ciudad_real,PayPal,3.5,Spring
5,45,Male,alava,PayPal,2.7,Spring
6,46,Male,gerona,Venmo,2.9,Summer
7,63,Male,burgos,Cash,3.2,Fall
8,27,Male,cadiz,Credit Card,3.2,Winter
9,26,Male,badajoz,Venmo,2.6,Summer
10,57,Male,pontevedra,Cash,4.8,Spring
11,53,Male,almeria,Bank Transfer,4.1,Fall
12,30,Male,teruel,Bank Transfer,4.9,Winter
13,61,Male,leon,Venmo,4.5,Winter
14,65,Male,gipuzkoa,PayPal,4.7,Spring
15,64,Male,sevilla,Debit Card,4.7,Winter
16,64,Male,salamanca,PayPal,2.8,Winter
17,25,Male,cuenca,Debit Card,4.1,Spring
18,53,Male,burgos,Venmo,4.7,Winter
19,52,Male,toledo,Cash,4.6,Summer
20,66,Male,sevilla,Debit Card,3.3,Summer
21,21,Male,la_coruna,Cash,2.8,Winter
22,31,Male,gerona,Debit Card,4.1,Winter
23,56,Male,las_palmas,Debit Card,3.2,Summer
24,31,Male,cordoba,Credit Card,4.4,Winter
25,18,Male,malaga,Debit Card,2.9,Fall
26,18,Male,ciudad_real,PayPal,3.6,Summer
27,38,Male,navarra,Credit Card,3.6,Spring
28,56,Male,cuenca,Bank Transfer,5.0,Summer
29,54,Male,santa_cruz_de_tenerife,PayPal,4.4,Fall
30,31,Male,zaragoza,Credit Card,4.1,Fall
31,57,Male,lugo,Credit Card,4.7,Winter
32,33,Male,alava,Venmo,4.7,Winter
33,36,Male,ciudad_real,Venmo,4.9,Summer
34,54,Male,bizkaia,Cash,3.3,Summer
35,36,Male,valencia,PayPal,4.6,Spring
36,54,Male,guadalajara,Credit Card,4.0,Summer
37,35,Male,cantabria,PayPal,4.6,Winter
38,35,Male,cadiz,PayPal,2.8,Summer
39,29,Male,alava,Venmo,3.7,Winter
40,70,Male,bizkaia,Credit Card,4.2,Summer
41,69,Male,teruel,Debit Card,4.6,Winter
42,67,Male,gerona,Venmo,4.5,Spring
43,20,Male,malaga,PayPal,4.1,Spring
44,25,Male,valencia,PayPal,3.7,Fall
45,39,Male,lleida,PayPal,4.6,Summer
46,50,Male,zaragoza,PayPal,2.9,Fall
47,57,Male,cadiz,Cash,2.9,Summer
48,55,Male,teruel,Cash,4.5,Winter
49,42,Male,cadiz,Cash,2.7,Summer
50,68,Male,castellon,Debit Card,4.6,Spring
51,49,Male,la_rioja,Debit Card,3.7,Spring
52,59,Male,la_rioja,Credit Card,4.7,Winter
53,42,Male,murcia,Credit Card,2.6,Summer
54,29,Male,segovia,Credit Card,3.9,Winter
55,47,Male,pontevedra,Debit Card,4.2,Summer
56,40,Male,valladolid,Credit Card,3.0,Winter
57,41,Male,la_coruna,Credit Card,4.7,Summer
58,21,Male,la_coruna,Debit Card,4.4,Summer
59,69,Male,asturias,Venmo,4.2,Summer
60,63,Male,castellon,Debit Card,4.6,Spring
61,50,Male,tarragona,Cash,4.0,Summer
62,55,Male,castellon,Credit Card,4.7,Winter
63,30,Male,palencia,Credit Card,3.8,Spring
64,33,Male,guadalajara,Credit Card,2.7,Winter
65,65,Male,cadiz,Debit Card,4.8,Fall
66,65,Male,ciudad_real,Venmo,4.8,Spring
67,31,Male,baleares,Venmo,4.7,Winter
68,45,Male,lugo,Debit Card,4.4,Winter
69,57,Male,leon,Cash,3.9,Summer
70,48,Male,guadalajara,Cash,4.4,Summer
71,22,Male,santa_cruz_de_tenerife,Debit Card,4.2,Fall
72,36,Male,jaen,Bank Transfer,2.9,Summer
73,18,Male,la_rioja,Bank Transfer,2.9,Winter
74,48,Male,valladolid,Bank Transfer,2.7,Spring
75,49,Male,burgos,Cash,4.5,Spring
76,64,Male,soria,Credit Card,2.7,Summer
77,50,Male,badajoz,Venmo,4.2,Summer
78,22,Male,cordoba,Debit Card,3.3,Summer
79,50,Male,zaragoza,Venmo,4.7,Spring
80,38,Male,sevilla,Bank Transfer,2.6,Winter
81,19,Male,gerona,Credit Card,3.3,Summer
82,67,Male,tarragona,Credit Card,2.6,Summer
83,19,Male,zamora,Credit Card,4.0,Spring
84,36,Male,lleida,Bank Transfer,4.1,Summer
85,52,Male,zamora,Bank Transfer,4.4,Spring
86,53,Male,huesca,Debit Card,4.5,Winter
87,24,Male,lleida,Cash,3.7,Spring
88,52,Male,caceres,Debit Card,3.7,Fall
89,33,Male,alava,Credit Card,3.5,Fall
90,47,Male,las_palmas,Cash,3.6,Fall
91,25,Male,las_palmas,Credit Card,2.9,Summer
92,44,Male,bizkaia,Credit Card,4.6,Winter
93,61,Male,albacete,Venmo,4.4,Winter
94,37,Male,madrid,Credit Card,4.5,Fall
95,58,Male,lugo,Credit Card,4.6,Spring
96,37,Male,teruel,PayPal,3.8,Fall
97,32,Male,lleida,Venmo,3.6,Spring
98,21,Male,valencia,Cash,4.8,Winter
99,20,Male,ciudad_real,Bank Transfer,2.6,Spring
100,26,Male,toledo,Debit Card,3.7,Summer
101,62,Male,alava,Cash,2.7,Fall
102,27,Male,zaragoza,Credit Card,4.6,Spring
103,51,Male,madrid,Credit Card,4.8,Winter
104,54,Male,madrid,Venmo,4.0,Winter
105,55,Male,alava,PayPal,4.4,Spring
106,69,Male,segovia,Bank Transfer,3.6,Fall
107,64,Male,asturias,Credit Card,3.7,Summer
108,28,Male,cantabria,PayPal,3.1,Winter
109,70,Male,guadalajara,Bank Transfer,3.4,Spring
110,58,Male,guadalajara,Bank Transfer,2.6,Spring
111,56,Male,barcelona,Venmo,4.0,Summer
112,26,Male,malaga,Credit Card,5.0,Summer
113,37,Male,zaragoza,PayPal,4.3,Spring
114,44,Male,huelva,PayPal,3.1,Winter
115,70,Male,valencia,Cash,3.7,Summer
116,53,Male,santa_cruz_de_tenerife,Debit Card,3.8,Spring
117,55,Male,lugo,Venmo,3.4,Spring
118,50,Male,gipuzkoa,Cash,4.6,Summer
119,50,Male,las_palmas,Cash,4.8,Fall
120,38,Male,barcelona,Cash,4.3,Fall
121,64,Male,santa_cruz_de_tenerife,Bank Transfer,4.0,Summer
122,19,Male,alicante,Cash,4.2,Winter
123,40,Male,castellon,Cash,4.8,Spring
124,57,Male,orense,Cash,3.1,Fall
