brand,price,price,colour,shop,product_id
& Other Stories,26.0,26.0,rosa,asos,1
& Other Stories,44.5,44.5,multicolor,asos,2
& Other Stories,14.0,14.0,marron,asos,3
& Other Stories,25.0,25.0,amarillo,asos,4
& Other Stories,16.5,16.5,negro,asos,5
& Other Stories,36.5,36.5,negro,asos,6
& Other Stories,13.5,13.5,beis,asos,7
& Other Stories,54.0,54.0,negro,asos,8
& Other Stories,16.0,16.0,negro,asos,9
& Other Stories,41.5,41.5,negro,asos,10
& Other Stories,27.0,27.0,morado,asos,11
& Other Stories,18.0,18.0,multicolor,asos,12
& Other Stories,19.5,19.5,negro,asos,13
& Other Stories,29.0,29.0,blanco,asos,14
& Other Stories,29.0,29.0,blanco,asos,15
& Other Stories,35.5,35.5,azul,asos,16
& Other Stories,22.5,22.5,multicolor,asos,17
& Other Stories,54.5,54.5,beis,asos,18
& Other Stories,26.0,26.0,multicolor,asos,19
& Other Stories,24.0,24.0,negro,asos,20
& Other Stories,39.0,39.0,beis,asos,21
& Other Stories,27.5,27.5,negro,asos,22
& Other Stories,27.0,27.0,naranja,asos,23
& Other Stories,35.5,35.5,negro,asos,24
& Other Stories,12.5,12.5,negro,asos,25
& Other Stories,23.0,23.0,multicolor,asos,26
& Other Stories,45.0,45.0,negro,asos,27
& Other Stories,49.0,49.0,blanco,asos,28
& Other Stories,14.0,14.0,verde,asos,29
& Other Stories,19.0,19.0,naranja,asos,30
& Other Stories,14.0,14.0,blanco,asos,31
& Other Stories,65.5,65.5,negro,asos,32
& Other Stories,35.5,35.5,blanco,asos,33
& Other Stories,12.5,12.5,azul,asos,34
& Other Stories,31.0,31.0,negro,asos,35
& Other Stories,11.0,11.0,crema,asos,36
& Other Stories,31.0,31.0,morado,asos,37
13MW,34.99,34.99,turquesa,amazon,38
13MW,34.99,34.99,rosa,amazon,39
13MW,34.99,34.99,rojo,amazon,40
24 JOYAS,19.95,19.95,rojo,amazon,41
24 JOYAS,19.95,19.95,rosa,amazon,42
365-Shopping,16.99,16.99,morado,amazon,43
365-Shopping,16.99,16.99,naranja,amazon,44
3styler,20.0,20.0,turquesa,amazon,45
3stylershop,18.0,18.0,turquesa,amazon,46
4F,11.17,11.17,naranja,amazon,47
4th & Reckless,36.0,36.0,dorado,asos,48
4th & Reckless,20.5,20.5,blanco,asos,49
4th & Reckless,28.0,28.0,blanco,asos,50
4th & Reckless Tall,33.0,33.0,negro,asos,51
ABINGOO,21.99,21.99,blanco,amazon,52
ABINGOO,23.99,23.99,gris,amazon,53
ABINGOO,19.99,19.99,verde,amazon,54
ABINGOO,23.99,23.99,negro,amazon,55
ABINGOO,21.99,21.99,azul,amazon,56
ABINGOO,19.99,19.99,rosa,amazon,57
ABINGOO,24.99,24.99,dorado,amazon,58
ABINGOO,19.99,19.99,blanco,amazon,59
ABINGOO,23.99,23.99,blanco,amazon,60
ABINGOO,23.99,23.99,rojo,amazon,61
ABINGOO,24.99,24.99,verde,amazon,62
ABINGOO,20.99,20.99,marfil,amazon,63
ABINGOO,24.99,24.99,negro,amazon,64
ABINGOO,19.99,19.99,azul,amazon,65
ABINGOO,24.99,24.99,azul,amazon,66
ABINGOO,24.99,24.99,marron,amazon,67
ABINGOO,19.99,19.99,negro,amazon,68
ABINGOO,24.99,24.99,marron,amazon,69
ABINGOO,24.99,24.99,gris,amazon,70
ABINGOO,24.99,24.99,rojo,amazon,71
ABINGOO,21.99,21.99,verde,amazon,72
ABINGOO,24.99,24.99,azul,amazon,73
ABINGOO,20.99,20.99,verde,amazon,74
ABINGOO,19.99,19.99,marfil,amazon,75
ABINGOO,16.99,16.99,marfil,amazon,76
ABINGOO,26.99,26.99,blanco,amazon,77
ABYOVRT,25.99,25.99,rosa,amazon,78
ABYOVRT,9.99,9.99,rojo,amazon,79
ABYOVRT,23.99,23.99,gris,amazon,80
ABYOVRT,25.99,25.99,marron,amazon,81
ABYOVRT,23.99,23.99,gris,amazon,82
ABYOVRT,21.99,21.99,azul,amazon,83
ABYOVRT,23.99,23.99,gris,amazon,84
ABYOVRT,23.99,23.99,verde,amazon,85
ABYOVRT,25.99,25.99,beis,amazon,86
ABYOVRT,25.99,25.99,rojo,amazon,87
ABYOVRT,21.99,21.99,blanco,amazon,88
ABYOVRT,23.99,23.99,negro,amazon,89
ABYOVRT,23.99,23.99,gris,amazon,90
ABYOVRT,21.99,21.99,negro,amazon,91
ABYOVRT,23.99,23.99,rojo,amazon,92
ABYOVRT,23.99,23.99,rosa,amazon,93
ABYOVRT,21.99,21.99,rojo,amazon,94
ABirdon,9.99,9.99,gris,amazon,95
ABirdon,9.99,9.99,marron,amazon,96
AC/DC,14.64,14.64,gris,amazon,97
AC/DC,33.99,33.99,gris,amazon,98
ACHIOOWA,36.09,36.09,rojo,amazon,99
ACHIOOWA,36.09,36.09,rojo,amazon,100
ACVIP,25.22,25.22,amarillo,amazon,101
ACVIP,25.22,25.22,dorado,amazon,102
ADMAY,6.58,6.58,turquesa,amazon,103
ADMAY,8.43,8.43,turquesa,amazon,104
ADMAY,5.97,5.97,dorado,amazon,105
ADMAY,7.23,7.23,dorado,amazon,106
AFRM,27.0,27.0,multicolor,asos,107
AIGAT,13.95,13.95,rosa,amazon,108
ALPHA INDUSTRIES,26.62,26.62,blanco,amazon,109
ALPHA INDUSTRIES,26.62,26.62,blanco,amazon,110
AMOMA,14.99,14.99,blanco,amazon,111
AMOMA,14.99,14.99,rosa,amazon,112
AMOMA,14.99,14.99,naranja,amazon,113
AMOMA,14.99,14.99,negro,amazon,114
AMOMA,14.99,14.99,amarillo,amazon,115
AMONIDA,20.04,20.04,marfil,amazon,116
ANABEL LEE,29.0,29.0,beis,amazon,117
ANGGREK,29.99,29.99,blanco,amazon,118
ANGGREK,29.99,29.99,rosa,amazon,119
ANGGREK,39.59,39.59,gris,amazon,120
ANGGREK,31.19,31.19,gris,amazon,121
ANGGREK,31.19,31.19,negro,amazon,122
ANGGREK,31.19,31.19,gris,amazon,123
ANGGREK,31.19,31.19,marron,amazon,124
ANGGREK,31.19,31.19,marron,amazon,125
ANGGREK,29.99,29.99,rosa,amazon,126
ANGGREK,31.19,31.19,marron,amazon,127
ANGGREK,31.19,31.19,marron,amazon,128
ANGGREK,29.99,29.99,rojo,amazon,129
